20151006,140000,242.000000000,244.100000000,241.988000000,243.519000000,701.073945830000
20151006,143000,243.519000000,244.347000000,242.643000000,243.940000000,239.478856520000
20151006,150000,243.941000000,245.000000000,243.845000000,244.955000000,223.383756130000
20151006,153000,244.955000000,245.176000000,243.783000000,244.341000000,1172.581658370000
20151006,160000,244.504000000,244.824000000,242.642000000,243.977000000,386.873011300000
20151006,163000,243.449000000,244.274000000,243.018000000,243.980000000,142.429362590000
20151006,170000,243.337000000,244.000000000,243.018000000,243.969000000,324.450420680000
20151006,173000,243.972000000,244.933000000,243.720000000,243.754000000,191.679844920000
20151006,180000,243.793000000,243.925000000,242.991000000,243.898000000,180.313530710000
20151006,183000,243.750000000,243.902000000,242.800000000,243.798000000,67.085925720000
20151006,190000,243.792000000,243.814000000,243.769000000,243.776000000,28.697000580000
20151006,193000,243.789000000,243.911000000,243.113000000,243.829000000,47.932863870000
20151006,200000,243.484000000,243.829000000,242.870000000,243.562000000,92.763308750000
20151006,203000,243.562000000,243.700000000,242.867000000,243.000000000,35.464659810000
20151006,210000,243.000000000,243.000000000,242.590000000,242.699000000,204.703294270000
20151006,213000,242.699000000,243.000000000,242.600000000,242.700000000,79.563596640000
20151006,220000,242.600000000,244.264000000,242.600000000,243.910000000,126.926786640000
20151006,223000,244.031000000,244.275000000,242.684000000,243.395000000,89.848112390000
20151006,230000,243.384000000,244.196000000,242.630000000,243.000000000,145.366893670000
20151006,233000,243.000000000,244.020000000,242.630000000,244.020000000,55.210144390000
20151007,000000,244.020000000,244.599000000,243.000000000,243.702000000,59.634745900000
20151007,003000,243.702000000,244.599000000,242.939000000,243.002000000,47.202952460000
20151007,010000,243.460000000,243.891000000,242.732000000,243.891000000,57.131030960000
20151007,013000,243.764000000,243.989000000,243.300000000,243.665000000,10.702464440000
20151007,020000,243.665000000,244.130000000,243.200000000,243.889000000,32.680175380000
20151007,023000,243.889000000,244.130000000,243.210000000,243.490000000,10.791111450000
20151007,030000,243.490000000,244.130000000,242.956000000,243.624000000,40.978089070000
20151007,033000,243.624000000,244.130000000,243.200000000,243.491000000,18.686257190000
20151007,040000,243.636000000,244.000000000,243.491000000,243.704000000,46.028147640000
20151007,043000,243.779000000,243.779000000,242.800000000,243.048000000,25.860545580000
20151007,050000,243.008000000,243.453000000,242.800000000,243.252000000,30.106692670000
20151007,053000,243.237000000,244.288000000,242.630000000,243.650000000,136.343988810000
20151007,060000,243.650000000,243.650000000,242.802000000,243.491000000,7.767129060000
20151007,063000,243.491000000,244.108000000,242.870000000,243.377000000,114.886917950000
20151007,070000,243.377000000,244.281000000,242.870000000,243.438000000,33.623115500000
20151007,073000,243.459000000,244.600000000,242.872000000,244.123000000,83.313969360000
20151007,080000,244.114000000,244.114000000,242.701000000,243.071000000,244.893519600000
20151007,083000,243.054000000,244.087000000,242.701000000,243.146000000,246.776816610000
20151007,090000,243.146000000,243.614000000,242.701000000,243.264000000,23.203587630000
20151007,093000,243.066000000,243.274000000,242.800000000,242.970000000,42.339537970000
20151007,100000,242.925000000,244.110000000,242.701000000,243.500000000,339.544930620000
20151007,103000,243.500000000,244.110000000,242.750000000,242.909000000,486.739499090000
20151007,110000,242.987000000,244.112000000,242.903000000,244.105000000,93.033741720000
20151007,113000,244.112000000,244.600000000,243.032000000,244.020000000,229.093201880000
20151007,120000,243.960000000,244.933000000,243.200000000,244.602000000,247.097326200000
20151007,123000,244.651000000,244.933000000,244.000000000,244.603000000,233.872621650000
20151007,130000,244.590000000,244.932000000,244.354000000,244.610000000,139.875613070000
20151007,133000,244.574000000,244.933000000,244.400000000,244.695000000,117.756573150000
20151007,140000,244.690000000,244.700000000,243.962000000,244.099000000,156.817778320000
20151007,143000,244.009000000,244.098000000,243.786000000,243.852000000,73.023537060000
20151007,150000,243.841000000,244.000000000,243.501000000,243.637000000,108.481424010000
20151007,153000,243.893000000,244.000000000,243.480000000,243.480000000,201.222861550000
20151007,160000,243.480000000,244.000000000,243.480000000,243.872000000,74.295275930000
20151007,163000,243.858000000,243.871000000,243.410000000,243.490000000,122.803948520000
20151007,170000,243.500000000,244.099000000,243.410000000,244.014000000,336.033778540000
20151007,173000,244.043000000,244.099000000,243.610000000,244.099000000,68.235005000000
20151007,180000,244.098000000,244.700000000,243.610000000,244.070000000,140.627243840000
20151007,183000,244.085000000,244.367000000,243.206000000,244.106000000,971.197830530000
20151007,190000,243.743000000,244.106000000,243.381000000,243.928000000,56.194794410000
20151007,193000,243.999000000,244.000000000,243.000000000,243.408000000,90.369460640000
20151007,200000,243.400000000,243.999000000,242.180000000,243.016000000,177.391038540000
20151007,203000,242.998000000,244.000000000,242.020000000,243.326000000,201.290121060000
20151007,210000,243.319000000,243.319000000,241.003000000,241.974000000,445.878039800000
20151007,213000,241.982000000,241.993000000,241.200000000,241.870000000,135.581947920000
20151007,220000,241.836000000,241.871000000,240.100000000,241.000000000,221.799507340000
20151007,223000,241.000000000,241.058000000,239.503000000,240.871000000,221.082545960000
20151007,230000,240.912000000,240.912000000,239.802000000,240.000000000,216.110075470000
20151007,233000,239.802000000,241.100000000,239.778000000,240.701000000,494.319215160000
20151008,000000,240.694000000,241.993000000,240.691000000,241.990000000,113.820177490000
20151008,003000,241.751000000,242.200000000,241.300000000,241.900000000,47.215755740000
20151008,010000,241.941000000,242.200000000,240.800000000,240.800000000,49.272598840000
20151008,013000,241.400000000,243.039000000,240.802000000,242.578000000,87.319628100000
20151008,020000,242.405000000,242.578000000,241.267000000,241.906000000,38.450048770000
